Joueur : Augustin RENAUD 1936-07-20 15:41:31 contract_id : [Contract] id : 24358e7d-f32d-46e8-9ba0-a444dea44d7d | date_start : 1970-01-01 00:00:00 | date_end : None | id_player : fe314a2c-1613-4d2b-84a0-c0e666d0d6e8 | id_club : 0
Joueur : Richard FAURE 1944-09-02 15:22:26 contract_id : [Contract] id : 59344c58-9ca0-42d6-abc3-ba8deb345ffb | date_start : 1970-01-01 00:00:00 | date_end : None | id_player : d9fde2a9-223e-4e89-8bb2-a0cd095867b7 | id_club : 0
Joueur : Adriano BRUNO 1938-12-25 01:02:46 contract_id : [Contract] id : 17a8b8a3-5323-458f-a60c-7b6ce394820c | date_start : 1970-01-01 00:00:00 | date_end : None | id_player : b6062de8-f76d-42ee-9b42-992a94ddd3bc | id_club : 0
Joueur : Evrard JACQUET 1944-04-02 21:10:51 contract_id : [Contract] id : 6484eed1-97cd-4475-a717-4c58b7ab0b18 | date_start : 1970-01-01 00:00:00 | date_end : None | id_player : 77229e56-6b84-4f37-8b38-2ab5a99a8a29 | id_club : 0
Joueur : Aurelio DE ANGELIS 1943-08-14 10:20:34 contract_id : [Contract] id : 48827649-9dfe-43a5-94d1-91ad0ee35a56 | date_start : 1970-01-01 00:00:00 | date_end : None | id_player : 870f447d-6b81-4956-9f5a-55f4dff65a6d | id_club : 1
Joueur : Geoffroi ANDRE 1939-07-29 21:13:35 contract_id : [Contract] id : 004cab93-d7c6-4150-aa72-7d1321fc701d | date_start : 1970-01-01 00:00:00 | date_end : None | id_player : 48a2534b-c3cd-41d1-93fa-7ada367962a1 | id_club : 1
Joueur : Camille MAILLARD 1939-11-14 01:54:07 contract_id : [Contract] id : e2eba224-db98-4c53-a5e6-ee9841e32de9 | date_start : 1970-01-01 00:00:00 | date_end : None | id_player : 04835c7c-1acc-429f-9946-252db0a56af9 | id_club : 1
Joueur : Humbert BERTRAND 1944-02-15 11:28:00 contract_id : [Contract] id : 0a07fb0e-a7f8-4f94-b07f-a4a09e9b9db6 | date_start : 1970-01-01 00:00:00 | date_end : None | id_player : 59956c3c-4439-45f7-a7e5-78a9bdb93178 | id_club : 1
Joueur : Nazaire GARNIER 1951-05-05 10:16:03 contract_id : [Contract] id : 190e5df2-37d8-4e39-9345-7a5f87012597 | date_start : 1970-01-01 00:00:00 | date_end : None | id_player : f3d34415-001b-4155-a417-aab038e0326a | id_club : 2
Joueur : Carlos GIMENEZ 1946-06-21 04:30:59 contract_id : [Contract] id : 99dbe05a-7df2-4bc3-8767-badbf7dfc3ea | date_start : 1970-01-01 00:00:00 | date_end : None | id_player : 45580b7f-8cc5-4c34-93e2-a77a061b206a | id_club : 2
Joueur : Sipho MWEMA 1944-05-21 19:57:37 contract_id : [Contract] id : 0367ec83-8d65-4902-b441-87942a028a0c | date_start : 1970-01-01 00:00:00 | date_end : None | id_player : 4807fe96-dda3-4472-92fd-b93ce3abc718 | id_club : 2
